epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.801,1.64968,2.65882,1.29186,0.11413,0.44154,0.22462,0.12863,1.24913,3.1312,1.0143,0.000467512,0.000467512,0.000467512
2,1020.63,1.32727,1.46093,1.0956,0.47601,0.36335,0.37198,0.23472,1.22152,2.0377,1.08711,0.000925158,0.000925158,0.000925158
3,1536.06,1.28386,1.26053,1.08135,0.50012,0.51848,0.52279,0.30867,1.21566,1.42958,1.11424,0.00136394,0.00136394,0.00136394
4,2051.09,1.25147,1.11733,1.06867,0.52111,0.51202,0.53762,0.33696,1.15784,1.29929,1.06622,0.00134412,0.00134412,0.00134412
5,2538.76,1.23918,1.12023,1.05768,0.57198,0.60023,0.59101,0.37993,1.0716,1.05404,1.01769,0.00131582,0.00131582,0.00131582
6,2995.93,1.20195,1.00277,1.04726,0.6298,0.66326,0.68286,0.43228,1.10544,1.05147,1.04749,0.00128753,0.00128753,0.00128753
7,3520.95,1.20887,1.02022,1.05724,0.65528,0.68114,0.68687,0.44744,1.09431,0.96282,1.03688,0.00125923,0.00125923,0.00125923
8,4089.01,1.21328,0.92177,1.04637,0.73654,0.65922,0.68025,0.42976,1.06163,0.91819,1.00651,0.00123094,0.00123094,0.00123094
9,4627.76,1.17821,0.88192,1.03181,0.76556,0.66366,0.71904,0.49454,1.01447,0.80087,0.98669,0.00120265,0.00120265,0.00120265
10,5157.46,1.16421,0.84205,1.03366,0.80704,0.70956,0.76435,0.50209,1.04703,0.761,1.0009,0.00117435,0.00117435,0.00117435
11,5689.03,1.15829,0.83989,1.03357,0.81593,0.68733,0.75129,0.49509,1.02856,0.74817,1.00115,0.00114606,0.00114606,0.00114606
12,6167.73,1.16573,0.85964,1.02825,0.82717,0.70084,0.7667,0.51209,0.99907,0.69685,0.98093,0.00111776,0.00111776,0.00111776
13,6650.17,1.13525,0.76659,1.01294,0.78715,0.72543,0.77298,0.5145,1.06175,0.67995,1.00831,0.00108947,0.00108947,0.00108947
14,7131.5,1.15407,0.75599,1.01247,0.86212,0.72834,0.81281,0.55035,1.0452,0.65791,0.99429,0.00106118,0.00106118,0.00106118
15,7635.88,1.1015,0.73837,1.0106,0.79738,0.70821,0.78289,0.53564,0.98795,0.65079,0.98015,0.00103288,0.00103288,0.00103288
16,8117.44,1.13136,0.74665,1.01276,0.79826,0.72185,0.78587,0.54161,1.00892,0.65488,0.98607,0.00100459,0.00100459,0.00100459
17,8570.6,1.09252,0.70636,0.99611,0.90462,0.74068,0.82802,0.57842,0.95685,0.61718,0.96398,0.000976293,0.000976293,0.000976293
18,9053.69,1.09374,0.69641,0.99085,0.85224,0.74612,0.83548,0.5845,0.94942,0.58375,0.96149,0.000947999,0.000947999,0.000947999
19,9542.66,1.09139,0.70259,1.00327,0.82889,0.75808,0.82251,0.5533,1.00054,0.59388,0.98221,0.000919704,0.000919704,0.000919704
20,10022,1.08189,0.67493,0.98906,0.85334,0.71424,0.80235,0.55372,0.95096,0.5917,0.95526,0.00089141,0.00089141,0.00089141
21,10507.4,1.08936,0.67211,0.99354,0.84955,0.74172,0.83372,0.56966,0.96509,0.58042,0.96187,0.000863116,0.000863116,0.000863116
22,11002.6,1.06133,0.65189,0.98457,0.87505,0.78338,0.85992,0.59838,0.95275,0.53214,0.95604,0.000834822,0.000834822,0.000834822
23,11511.7,1.07675,0.64831,0.9853,0.85227,0.82477,0.88374,0.61223,0.94861,0.53233,0.95266,0.000806528,0.000806528,0.000806528
24,12007.2,1.07104,0.64205,0.9892,0.91845,0.78744,0.88499,0.62103,0.92119,0.52281,0.94853,0.000778233,0.000778233,0.000778233
25,12508.6,1.0433,0.6283,0.98144,0.87662,0.77824,0.86286,0.61873,0.93893,0.52259,0.94944,0.000749939,0.000749939,0.000749939
26,13012.5,1.04381,0.63216,0.97431,0.85586,0.81312,0.86207,0.60344,0.94644,0.5356,0.95974,0.000721645,0.000721645,0.000721645
27,13511.7,1.05828,0.62573,0.97476,0.81619,0.76978,0.84881,0.60551,0.93121,0.52218,0.94653,0.000693351,0.000693351,0.000693351
28,14008.3,1.05655,0.61977,0.97732,0.90493,0.80168,0.89835,0.64391,0.8937,0.4791,0.92922,0.000665057,0.000665057,0.000665057
29,14503.9,1.03851,0.59718,0.97032,0.94594,0.74833,0.87063,0.63545,0.89355,0.48882,0.92984,0.000636762,0.000636762,0.000636762
30,14996.5,1.04358,0.59033,0.96734,0.88845,0.84581,0.90989,0.64385,0.90926,0.49367,0.93877,0.000608468,0.000608468,0.000608468
31,15491.5,1.02267,0.57314,0.96024,0.88878,0.83866,0.9082,0.65701,0.87785,0.47195,0.92915,0.000580174,0.000580174,0.000580174
32,15992.3,1.02077,0.56792,0.9689,0.95415,0.7926,0.90407,0.6611,0.87129,0.46178,0.92454,0.00055188,0.00055188,0.00055188
33,16484.9,1.00485,0.58009,0.96641,0.95245,0.81019,0.91085,0.65633,0.9081,0.46149,0.93595,0.000523586,0.000523586,0.000523586
